name,street,city,zipcode,phone,features,comments
1% Check Cashing,11151 Avalon Blvd. Suite #108,Los Angeles,90061,(323) 777-2067,"[metro_passes,rrtp_coupons,ctc_coupons]",
A TO Z CHECK CASHING,106 N. Glendale Ave.,Glendale,91206,(818) 241-0608,"[metro_passes,rrtp_coupons,ctc_coupons]",
Aloha Market,2404 S. Vermont Ave.,Los Angeles,90007,(323) 734-3117,"[metro_passes,rrtp_coupons,ctc_coupons]",
Alondra Quick Check,15920 Downey Ave.,Paramount,90746,(562) 633-9542,"[metro_passes,longbeachtransit_passes,rrtp_coupons,ctc_coupons]",
Avalon Check Cashing,4147 W. Century Blvd.,Inglewood,90304,(310) 671-1505,"[metro_passes,rrtp_coupons,ctc_coupons]",
Avalon Check Cashing #2,11050 S. Prairie Ave.,Inglewood,90301,(310) 412-0300,"[metro_passes,rrtp_coupons,ctc_coupons]",
Avalon Check Cashing #3,105 W. Century Blvd.,Los Angeles,90003,(323) 777-7900,"[metro_passes,rrtp_coupons,ctc_coupons]",
"Band B Check Cashing, Inc.",4137 Santa Ana St,Huntington Park,90255,(323) 587-4362,"[metro_passes,rrtp_coupons,ctc_coupons]",
CA Money Express,2602 E. Florence Ave.,Huntington Park,90255,(714) 863-1121,"[metro_passes,rrtp_coupons,ctc_coupons]",
"California State University, Northridge",18111 Nordhoff Street BH240,Northridge,91330,(818) 677-2488,"[metro_passes,rrtp_coupons,ctc_coupons]",
Campers Corner,720 E 7th Street,Los Angeles,90021,(213) 627-9909,"[metro_passes,rrtp_coupons,ctc_coupons]",
Cash Connection Plus,9961 E. Valley Blvd,El Monte,91731,(626) 454-4895,"[metro_passes,rrtp_coupons,ctc_coupons]",
Cash it Quick,18503 Victory Blvd.,Reseda,91335,(818) 342-1200,"[metro_passes,rrtp_coupons,ctc_coupons]",
City Check Cashers,311 S Vermont ave,Los Angeles,90020,(213) 381-3223,"[metro_passes,rrtp_coupons,ctc_coupons]",
City Check Cashers,828 S Vermont Ave,Los Angeles,90005,(213) 381-3223,"[metro_passes,rrtp_coupons,ctc_coupons]",
City Check Cashers,9767 Laurel Canyon Blvd,Pacoima,91331,(213) 381-3223,"[metro_passes,rrtp_coupons,ctc_coupons]",
City of Downey,11111 Brookshire Ave,Downey,90241,(562) 904-7251,"[metro_passes,rrtp_coupons,ctc_coupons]",
City of Whittier Senior Center,13225 Walnut St.,Whittier,90262,(562) 567-9482,"[metro_passes,montebello_passes,rrtp_coupons,ctc_coupons]",
Color Check Cashing,227 W. 7th Street,Los Angeles,90014,213-627-5234,"[metro_passes,rrtp_coupons,ctc_coupons]",
Confetti Liquor,13674 Oxnard St.,Van Nuys,91401,(818) 786-2188,"[metro_passes,rrtp_coupons,ctc_coupons]",
"Continental Currency Services, Inc.",12773 Van Nuys Blvd.,Pacoima,91331,(818) 890-1255,"[metro_passes,rrtp_coupons,ctc_coupons]",
