VENDOR_NAME,STREET,CITY,STATE,ZIP,PHONE,PASSES,TOKENS,COUPONS,RESTRICTIONS
1% Check Cashing,11151 Avalon Blvd. Suite #108,Los Angeles,CA,90061,3237772067,Metro,0,Both,No EZ Passes
3RD & Normandie Check Cashing,280 S. Normandie,Los Angeles,CA,90004,3233808588,Metro,Yes,RRTC,No EZ Passes
3RD Street Check Cashing,3653 W. 3RD St. ,Los Angeles,CA,90020,2133834757,Metro,Yes,RRTC,No EZ Passes
A TO Z CHECK CASHING,106 N. Glendale Ave.,Glendale,CA,91206,8182410608,Metro,Yes,Both,None
AAA Cash Advance Inc.,1771 W. Jefferson Blvd.,Los Angeles,CA,90018,3237351800,Metro,Yes,No,None
Adams Liquor,14556 Vanowen St.,Van Nuys,CA,91405,8187819011,Metro,No,No,None
Aloha Market,2404 S. Vermont Ave.,Los Angeles,CA,90007,3237343117,Metro,Yes,Both,None
Alondra Quick Check,15920 Downey Ave.,Paramount,CA,90746,5626339542,Metro Long Beach Transit,Yes,Both,None
Angelus Mini Market,255 S Hill St,Los Angeles,CA,90012,2136177910,Metro,No,RRTC,No EZ Passes
Antelope Valley Mall,1233 W. Rancho Vista Blvd.,Palmdale,CA,93551,6612669150,AVTA,No,No,No EZ Passes
Antelope Valley Transit Authority,42210 6th Street West,Lancaster,CA,93534,6617292222,AVTA,No,No,No EZ Passes
Apulo Market,2612 W. 8th St.,Los Angeles,CA,90057,2133838380,Metro,Yes,RRTC,None
AV Mail & More,2851 W. Ave L,Lancaster ,CA,93536,6617224555,AVTA,No,,EZ Passes 
Avalon Check Cashing,4147 W. Century Blvd.,Inglewood,CA,90304,3106711505,Metro,Yes,Both,None
Avalon Check Cashing #2,11050 S. Prairie Ave.,Inglewood,CA,90301,3104120300,Metro,Yes,Both,None
Avalon Check Cashing #3,105 W. Century Blvd.,Los Angeles,CA,90003,3237777900,Metro,Yes,Both,None
Azusa Transportation Center,943 N. Vernon Ave,Azusa,CA,91702,6268125140,Metrolink Foothill Transit,No,No,Resident/Seniors Only
Band B Check Cashing Inc.,4137 Santa Ana St,Huntington Park,CA,90255,3235874362,Metro,No,Both,No EZ Passes
Barneys Liquor,5001 Monte Vista St.,Los Angeles,CA,90042,3232567216,Metro,No,No,No EZ Passes
Bell Community Center,6330 Pine Ave.,Bell,CA,90221,3235886211,Metro,No,No,Residents Only
Berry &  Sweeney Pharmacy,1377 N Fair Oaks Ave.,Pasadena,CA,91103,6267941124,Metro,Yes,No,None
Beverly Kenmore Check Cashing,4028 Beverly Blvd,Los Angeles,CA,90004,2133809815,Metro,Yes,,None
Broadway Check Cashing,2430 N Broadway,Los Angeles,CA,90031,3232767415,Metro,Yes,RRTC,None
Burbank Joslyn Center,1301 W. Olive Ave.,Burbank,CA,91510,NULL,Metro,No,No,Resident/Seniors Only
California Money Express,2602 E. Florence Ave.,Huntington Park,CA,90255,7148631121,Metro,Yes,Both,None
Cal Poly Pomona,3801 W. Temple Ave. BU #35,Pomona,CA,91768,9098692859,Metro Foothill Transit,,,
Cal State Dominguez,1000 E. Victoria St.,Carson,CA,90747,3102433006,Metro,Yes,No,None
Cal State University Los Angeles,5151 State University Dr. ,Los Angeles,CA,90032,3233436118,Metro Metrolink Foothill Transit,Yes,No,None
California State University Northridge,18111 Nordhoff Street BH240,Northridge,CA,91330,8186772488,Metro,No,Both,None
Campers Corner,720 E 7th Street,Los Angeles,CA,90021,2136279909,Metro,Yes,Both,None
Canyon Country Community Center,18792 Flying Tiger Drive,Santa Clarita,CA,91387,6612841480,Santa Clarita,No,No,No EZ Passes
Cash Connection Plus,9961 E. Valley Blvd,El Monte,CA,91731,6264544895,Metro,Yes,Both,None
Cash it Quick,43535 Gadsden Avenue Suite F,Lancaster,CA,93534,6617233130,Metro AVTA,No,No,No EZ Passes
Cash it Quick,18503 Victory Blvd.,Reseda,CA,91335,8183421200,Metro,No,Both,None
Cashnet Financial Services,1114 N. La Brea Avenue Unit 105,West Hollywood,CA,90038,NULL,Metro,Yes,RRTC,None
Cashnet Financial Services,7071 1/2 Santa Monica Blvd.,Los Angeles,CA,90038,3239627711,Metro,Yes,RRTC,None
Check 4 Cash,4149 Tweedy blvd,South Gate,CA,90280,3235698708,Metro,Yes,No,None
China Bookstore,652-B N. Broadway,Los Angeles,CA,90012,2136809230,Metro,Yes,No,None
City Check Cashers,311 S Vermont ave,Los Angeles,CA,90020,2133813223,Metro,Yes,Both,None
City Check Cashers,828 S Vermont Ave,Los Angeles,CA,90005,2133813223,Metro,Yes,Both,None
City Check Cashers,9767 Laurel Canyon Blvd,Pacoima,CA,91331,2133813223,Metro,Yes,Both,None
City of Alhambra,111 South 1st St,Alhambra,CA,91801,6265703268,Metro,Yes,No,Residents Only
City of Azusa,213 East Foothill Dr.,Azusa,CA,91702,6268125200,Foothill Transit  ,,,
City of Baldwin Park,4100 Baldwin Park Blvd,Baldwin Park,CA ,91706,6269622625,Foothill Transit,,,
City of Beverly Hills,455 N. Rexford Dr,Beverly Hills,CA,90210,3102852409,Metro,No,No,Resident/Seniors Only
City of Burbank Joslyn Center,1301 W. Olive Ave,Burbank,CA,91506,8182385360,Metro,No,No,Resident/Seniors Only
City of Commerce,2535 Commerce Way,Commerce,CA,90040,3237224805 x2336,Metro,No,No,Residents Only
City of Covina,125 E. College St.,Covina,CA,91723,6263845520,Metro Foothill Transit,No,No,Senior and Disabled Residents Only
City of Cudahy,5220 Santa Ana Street,Cudahy,CA,90201,3237735143,Metro,No,No,Resident/Seniors Only
City of Diamond Bar,21801 Copley Dr.,Diamond Bar,CA,91765,9098397050,Metro Metrolink Foothill Transit,Yes,CTC,None
City of Downey,11111 Brookshire Ave,Downey,CA,90241,5629047251,Metro,No,Both,None
City of El Monte,3650 Center St.,El Monte,CA,91731,6265802242,Metro Foothill Transit,No,No,Residents Only
City of El Segundo,350 Main St.,El Segundo,CA,90245,3105242705,Metro BCT,Yes,No,Residents Only
City of Glendora,116 E. Foothill Blvd.,Glendora,CA,91741,6268524814,Metro Foothill Transit,No,No,Residents Only
City of Hawthorne,3901 W. El Segundo Blvd.,Hawthorne,CA,90250,3103491640,Metro,No,No,Residents Only
City of Hermosa Beach,1315 Valley Dr.,Hermosa Beach,CA,90254,3103180256,Metro Reduced Fare,No,No,Sr/Dis College Student Residents Only
City of Huntington Park,6550 Miles Ave.,Huntington Park,CA,90255,3235846237,Metro,No,No,Residents Only
City of Inglewood,One West Manchester Blvd.,Inglewood,CA,90301,3104128729,Metro,No,No,Residents Only
City of La Puente,15900 E. Main St.,La Puente,CA,91744,6268551500,Metro Foothill Transit,No,No,Residents Only
City La Verne,3660 D St,La Verne,CA,91750,9095968700,Metro Foothill Transit,No,No,Residents Only
City of Manhattan Beach,1400 Highland Ave,Manhattan Beach,CA,90266,3108025561,Metro,No,No,Residents Only
City of Monrovia,119 W. Palm Ave.,Monrovia,CA,91016,6262568246,Metro Foothill Transit,No,No,Residents Only
City of Pasadena<br/>Metro Senior Passes Only,100 N Garfield Ave.,Pasadena,CA,91101,6267444428,Metro,No,No,Residents Only
City of Pico Rivera,6767 Passons Blvd.,Pico Rivera,CA,90660,5628014227,Metro,No,No,Residents Only
City of Rosemead,8838 E. Valley Blvd.,Rosemead,CA,91770,6265692250,Metro,No,No,Residents Only
City of San Fernando,117 Macneil St.,San Fernando,CA,91340,8188981244,Metro,No,No,Residents Only
City of San Gabriel,250 S. Mission Dr.,San Gabriel,CA,91776,6263082875,Metro,No,No,Residents/Seniors Only
City of Santa Clarita Aquatics Center,20850 Centre Pointe Pkwy,Santa Clarita,CA,91351,6612503700,Santa Clarita,No,Rider Relief,No EZ Passes
City of Santa Clarita City Hall,23920 Valencia Blvd.,Santa Clarita,CA,91355,6612864099,Santa Clarita,No,Rider Relief,No EZ Passes
City of Santa Clarita Transit Maintenance Facility,28250 Constellation Road,Santa Clarita,CA,91355,6612956328,Santa Clarita & EZ Passes,No,Rider Relief,None
City of South El Monte,1415 Santa Anita,South El Monte,CA,91733,6265796540,Metro Foothill Transit,No,No,Residents Only
City of South Gate,9520 Hildreth Ave.,South Gate,CA,90280,3235635754,Metro,No,No,Resident/Seniors Only
City of South Pasadena,1102 Oxley St.,South Pasadena,CA,91030,6264037360,Metro,No,No,Residents Only
City of Walnut,21201 La Puente Rd,Walnut,CA,91789,9095957543,Metro Metrolink Foothill Transit,No,CTC,Regular EZ Passes Only
City of West Hollywood,8300 Santa Monica Blvd.,West Hollywood,CA,90069,3238486370,Metro,No,No,Residents Only
City of Whittier Senior Center,13225 Walnut St.,Whittier,CA,90262,5625679482,Metro Montebello,No,Both,Residents Only
Color Check Cashing,227 W. 7th Street,Los Angeles,CA,90014,2136275234,Metro,Yes,Both,None
Confetti Liquor,1542 San Fernando Rd,San Fernando,CA,91340,8187862188,Metro,Yes,Both,None
Continental Currency Services Inc.,12773 Van Nuys Blvd.,Pacoima,CA,91331,8188901255,Metro,Yes,Both,None
Continental Currency Services Inc.,1298 N Lake Ave,Pasadena,CA,91104,6267942970,Metro,Yes,Both,None
Continental Currency Services Inc.,8565 S. Broadway - #1,Los Angeles,CA,90003,3237586632,Metro,Yes,Both,None
Continental Currency Services Inc.,1457 E. Florence Ave. Unit 115,Los Angeles,CA,90001,3235827665,Metro,Yes,Both,None
Continental Currency Services Inc.,3401 W. Slauson Ave.,Los Angeles,CA,90043,3232923651,Metro,Yes,Both,None
Continental Currency Services Inc.,9100 Van Nuys Blvd.,Panorama city,CA,91402,8188301400,Metro,Yes,Both,None
Continental Currency Services Inc.,6821-A S. Eastern Ave.,Bell Gardens,CA,90201,3237718448,Metro,Yes,Both,None
Continental Currency Services Inc.,5623 E. Whittier Blvd.,Los Angeles,CA,90022,3238889632,Metro,Yes,Both,None
Continental Currency Services Inc.,6565 Hollywood Blvd.,Hollywood,CA,90028,3234642718,Metro,Yes,Both,None
Continental Currency Services Inc.,6401 Hollywood Blvd.,Hollywood,CA,90028,3234664808,Metro,Yes,Both,None
Continental Currency Services Inc.,559 S. Broadway,Los Angeles,CA,90014,2136241666,Metro,Yes,Both,None
Continental Currency Services Inc.,3106 San Gabriel Blvd.,Rosemead,CA,91770,6262800380,Metro,Yes,Both,None
Continental Currency Services Inc.,1669 E. 103rd St,Los Angeles,CA,90002,3235696245,Metro,Yes,Both,None
Continental Currency Services Inc.,4020 Washington Blvd.,Los Angeles,CA,90018,3237349974,Metro,Yes,Both,None
Continental Currency Services Inc. #317,148 E. Compton Blvd,Compton,CA,90220,3105379239,Metro Long Beach Transit,Yes,Both,None
Continental Currency Services Inc.,303 Lincoln Blvd,Venice,CA,90291,3103925985,Metro,Yes,Both,None
Continental Currency Services Inc.,5824 S. Vermont Ave,Los Angeles,CA,90044,3237515044,Metro,Yes,Both,None
Continental Currency Services Inc. #408,1301 Long Beach Blvd,Long Beach,CA,90813,5625991550,Metro Long Beach Transit,Yes,Both,None
Continental Currency Services Inc. #015,739 W Rosecrans Ave,Compton,CA,90222,3106383021,Metro Long Beach Transit,Yes,Both,None
Continental Currency Services Inc.,8026 Vineland Ave,Sun Valley,CA,91352,8187683740,Metro,Yes,Both,None
Continental Currency Services Inc.,5804 Rodeo Rd.,Los Angeles,CA,90016,3108374422,Metro,Yes,Both,None
Continental Currency Services Inc. #414,335 E. 7th St.,Long Beach,CA,90813,5624367078,Metro Long Beach Transit,Yes,Both,None
Continental Currency Services Inc. #513,3461 E. Artesia Blvd.,Long Beach,CA,90805,5625312320,Metro Long Beach Transit,Yes,Both,None
Continental Currency Services Inc.,4050 Victoria Ave.,Los Angeles,CA,90008,3232966052,Metro,Yes,Both,None
Continental Currency Services Inc.,10716 W. Washington Blvd.,Culver City,CA,90232,3102042115,Metro,Yes,Both,None
Continental Currency Services Inc.,11712 Wilmington Ave.,Los Angeles,CA,90059,3235677200,Metro,Yes,Both,None
Continental Currency Services Inc.,8116 Long Beach Blvd.,South Gate,CA,90280,3235877545,Metro,Yes,Both,None
Continental Currency Services Inc.,2401 W. Manchester Blvd.,Inglewood,CA,90305,3237591000,Metro,Yes,Both,None
Continental Currency Services Inc. #274,13542 Lakewood Blvd. #F,Bellflower,CA,90706,5626340254,Metro Long Beach Transit,Yes,Both,None
Continental Currency Services Inc.,400 S Broadway,Los Angeles,CA,90013,2136239852,Metro,Yes,Both,None
Continental Currency Services Inc.,2451 E. Florence Ave.,Huntington Park,CA,90255,3235888664,Metro,Yes,Both,None
Continental Currency Services Inc.,12100 Victory Blvd.,North Hollywood,CA,91606,8187693228,Metro,Yes,Both,None
Continental Currency Services Inc.,1890 S. Western Ave.,Los Angeles,CA,90006,3237348632,Metro,Yes,Both,None
Continental Currency Services Inc.,4201 W. Pico Blvd.,Los Angeles,CA,90019,3239384070,Metro,Yes,Both,None
Continental Currency Services Inc.,447 E. Orange Grove Ave.,Pasadena,CA,91104,6265640712,Metro,Yes,Both,None
Continental Currency Services Inc.,1023-B S. Brand Blvd,Glendale,CA,91204,8182433639,Metro,Yes,Both,None
Continental Currency Services Inc.,16751677 W. Martin Luther King Jr Blvd.,Los Angeles,CA,90062,3232962669,Metro,Yes,Both,None
Continental Currency Services Inc.,11220 S. Crenshaw Blvd.,Inglewood,CA,90303,3237561333,Metro,Yes,Both,None
Continental Currency Services Inc.,2400 E. Florence Avenue,Huntington Park,CA,90255,3235825895,Metro,Yes,Both,None
Continental Currency Services Inc.,12854 Pioneer Blvd.,Norwalk,CA,90650,5628682018,Metro,Yes,Both,None
Continental Currency Services Inc.,4373 S. Vermont Ave.,Los Angeles,CA,90037,3232326006,Metro,Yes,Both,None
Continental Currency Services Inc.,2417 E. Cesar Chavez,Los Angeles,CA,90033,3232604830,Metro,Yes,Both,None
Continental Currency Services Inc.,11515 Washington Blvd.,Whittier,CA,90606,5629081000,Metro,Yes,Both,None
Corner Store Liquor #2,3000 N. Main St.,Los Angeles,CA,90031,3232254888,Metro,Yes,Both,No EZ Passes
Corner Store Liquor #1,16 S. Fremont Ave.,Alhambra,CA,91801,6264382016,Metro,Yes,Both,No EZ Passes
Covina Joslyn,815 N Barranca Avenue,Covina,CA,91723,6268587219,Metro,No,No,Resident/Seniors Only
Crest Jr. Market,2543 W. 3rd Street,Los Angeles,CA,90057,2133880188,Metro,Yes,No,No EZ Passes
CSULA,5151 University Drive Building C,Los Angeles,CA,90032,3233435277,Metro Metrolink,Yes,No,None
Digital Currency/Unipago CA,1006 N. Vermont Ave.,Los Angeles,CA,90029,3236441330,Metro,Yes,Both,None
E MONEY EXPRESS #1,12173 Carson St.,Hawaiian Gardens,CA,90716,5624677488,Metro Long Beach Transit,Yes,Both,None
E Money Express #5,7705 Atlantic Ave. ,Cudahy,CA ,90201,5622935141,Metro,Yes,RRTC,None
E Z Check Cashing,1901 S Alameda,Los Angeles,CA,90058,2137478408,Metro,Yes,Both,No EZ Passes
East Hollywood Currency Services,5520 Santa Monica Blvd,Los Angeles,CA,90038,3234662703,Metro,Yes,,
Eastside Checking Cashing,1018 E. Ave J,Lancaster,CA,93535,6617261321,AVTA,No,,No EZ Passes
El Rancho Market,1115 N. Alvarado St. ,Los Angeles,CA,90026,2134132677,Metro,Yes,RRTC,None
El Segundo Joslyn Center,339 Sheldon St.,El Segundo,CA,90245,3105242701,Metro,No,No,Resident/Seniors Only
El Sereno Liquor,3327 N. Eastern Ave.,Los Angeles,CA,90032,3232214246,Metro,Yes,Both,No EZ Passes
Envios Mi Tierra Dinero En Segundos,4968 Venice Blvd.,Los Angeles,CA,90019,3239370688,Metro,Yes,No,None
Ethical Drug,254 N. Western Ave.,Los Angeles,CA,90004,3234672101,Metro,Yes,No,None
FAMIMA Broadway,544 S. Broadway,Los Angeles,CA,90013,2134893558,Metro,Yes,No,None
FAMIMA California Plaza,305 S Grand Ave. Suite R2B,Los Angeles,CA,90071,2136284000,Metro,No,Both,None
FAMIMA City National Plaza,505 S. Flower Street Suite 520,Los Angeles,CA,90071,2136233236,Metro,No,Both,None
FAMIMA Pacific Center,525 W. 6th Street,Los Angeles,CA,90017,NULL,Metro,No,Both,None
FAMIMA Roosevelt,727 W. 7th Street Suite G-735,Los Angeles,CA,90017,2136277334,Metro,No,Both,None
FAMIMA Union Station,800 N. Alameda Street,Los Angeles,CA,90013,2136131433,Metro,No,Both,None
FAMIMA Wilshire,700 Wilshire Boulevard,Los Angeles,CA,90017,NULL,Metro,No,Both,None
Fiesta Liquor,7215 Vineland Ave,Sun Valley,CA,91352,8187652481,Metro,Yes,RRTC,No EZ Passes
Fisher Market,1332 W. Alhambra Rd.,Alhambra,CA,91801,6262822143,Metro,Yes,No,None
Florence Check Cashing,2688 E Florence Ave,Huntington Park,CA,90255,3235858515,Metro,Yes,Both,None
Florence Shell,605 E. Florence Ave,Los Angeles,CA,90001,3237530855,Metro,No,Both,None
Foothill Transit,1600 Azusa Ave. #571,City of Industry,CA,91748,8007433463,Metro Foothill Transit,Yes,Both,None
Foothill Transit,100 W. Commercial Ave.,Pomona,CA,91767,8007433463,Metro Foothill Transit,Yes,Both,None
